State,Year,Average Teacher Salary,Students per Teacher
Virginia,1988,56560,16
Washington,1988,57014,20
West Virginia,1988,42770,15
Wisconsin,1988,60099,16
Wyoming,1988,53959,15
Alabama,1989,45895,18
Alaska,1989,79768,17
Arizona,1989,54349,19
Arkansas,1989,41318,17
California,1989,70239,22
Colorado,1989,56856,18
Connecticut,1989,74791,13
Delaware,1989,61697,16
District of Columbia,1989,70985,13
Florida,1989,53242,17
Georgia,1989,51769,18
Hawaii,1989,59238,19
Idaho,1989,44106,20
Illinois,1989,60620,17
Indiana,1989,57121,18
Iowa,1989,49442,16
Kansas,1989,53133,15
Kentucky,1989,48600,18
Louisiana,1989,44918,18
Maine,1989,49690,14
Maryland,1989,67135,17
Massachusetts,1989,64165,14
Michigan,1989,68527,20
Minnesota,1989,59503,17
Mississippi,1989,44904,18
Missouri,1989,50083,16
Montana,1989,46363,16
Nebraska,1989,47178,15
Nevada,1989,56545,20
New Hampshire,1989,53580,16
New Jersey,1989,65946,14
New Mexico,1989,45761,18
New York,1989,71953,15
North Carolina,1989,51541,17
North Dakota,1989,42545,15
Ohio,1989,57705,17
Oklahoma,1989,42644,16
Oregon,1989,57007,18
Pennsylvania,1989,61624,16
Rhode Island,1989,66650,14
South Carolina,1989,50310,17
South Dakota,1989,39372,16
Tennessee,1989,50005,19
Texas,1989,50826,17
Utah,1989,43784,25
Vermont,1989,53628,14
Virginia,1989,57188,16
Washington,1989,56300,20
West Virginia,1989,42222,15
Wisconsin,1989,59005,16
Wyoming,1989,52019,15
Alabama,1990,46996,20
Alaska,1990,75945,17
Arizona,1990,53814,19
Arkansas,1990,41291,17
California,1990,69248,23
Colorado,1990,55644,18
Connecticut,1990,76610,13
Delaware,1990,61638,17
District of Columbia,1990,69072,14
Florida,1990,53434,17
Georgia,1990,50672,18
Hawaii,1990,56908,19
Idaho,1990,44567,20
Illinois,1990,60517,17
Indiana,1990,57284,17
