State,Year,Teachers,Students
Florida,1980,73983,1510225
Georgia,1980,56514,1068737
Hawaii,1980,7185,165068
Idaho,1980,9938,203247
Illinois,1980,108064,1983463
Indiana,1980,53099,1055589
Iowa,1980,32745,533857
Kansas,1980,26366,415291
Kentucky,1980,32892,669798
Louisiana,1980,43930,777560
Maine,1980,11775,222497
Maryland,1980,40863,750665
Massachusetts,1980,64987,1021885
Michigan,1980,84377,1797052
Minnesota,1980,44142,754318
Mississippi,1980,25933,477059
Missouri,1980,48878,844648
Montana,1980,9370,155193
Nebraska,1980,16796,280430
Nevada,1980,7129,149481
New Hampshire,1980,8448,167232
New Jersey,1980,76550,1246008
New Mexico,1980,14089,271198
New York,1980,155320,2871724
North Carolina,1980,56222,1129376
North Dakota,1980,7375,116885
Ohio,1980,100527,1957381
Oklahoma,1980,33901,577807
Oregon,1980,22596,464599
Pennsylvania,1980,109928,1909292
Rhode Island,1980,9192,148956
South Carolina,1980,32214,619223
South Dakota,1980,7964,128507
Tennessee,1980,41162,853569
Texas,1980,159531,2900073
Utah,1980,14372,343618
Vermont,1980,6476,95815
Virginia,1980,57027,1010371
Washington,1980,35514,757639
West Virginia,1980,21668,383503
Wisconsin,1980,48491,830247
Wyoming,1980,6361,98305
Alabama,1981,36000,743448
Alaska,1981,5665,90858
Arizona,1981,25601,507199
Arkansas,1981,23497,437121
California,1981,175000,4046156
Colorado,1981,29462,544174
Connecticut,1981,33723,505386
Delaware,1981,5331,95072
District of Columbia,1981,5132,94975
Florida,1981,74872,1487721
Georgia,1981,56217,1056117
Hawaii,1981,7165,162805
Idaho,1981,9798,204524
Illinois,1981,103793,1924084
Indiana,1981,51303,1025172
Iowa,1981,31244,516216
Kansas,1981,26179,409909
Kentucky,1981,31666,658350
Louisiana,1981,39967,782053
Maine,1981,12000,216293
Maryland,1981,39120,721841
Massachusetts,1981,62227,947037
Michigan,1981,78768,1724787
Minnesota,1981,42836,733741
Mississippi,1981,24430,471615
Missouri,1981,48135,818705
Montana,1981,9310,153435
Nebraska,1981,17410,273340
Nevada,1981,7180,151339
New Hampshire,1981,9729,163827
New Jersey,1981,75231,1199643
New Mexico,1981,14296,268091
New York,1981,157201,2783017
North Carolina,1981,55833,1108960
North Dakota,1981,6995,117708
Ohio,1981,96449,1898501
Oklahoma,1981,33904,582572
Oregon,1981,22480,457165
Pennsylvania,1981,107103,1839015
Rhode Island,1981,8895,143414
South Carolina,1981,32007,609158
South Dakota,1981,7964,125657
Tennessee,1981,40875,838297
Texas,1981,159640,2935547
Utah,1981,14463,355554
Vermont,1981,6103,93183
Virginia,1981,55471,989548
Washington,1981,34576,750188
West Virginia,1981,21870,377772
Wisconsin,1981,46652,804262
Wyoming,1981,6634,99541
Alabama,1982,35619,724037
Alaska,1982,5710,89413
Arizona,1982,26190,510296
Arkansas,1982,23713,432565
California,1982,174674,4065486
Colorado,1982,29375,545209
Connecticut,1982,32760,486470
Delaware,1982,5409,92646
District of Columbia,1982,5355,91105
Florida,1982,83301,1484734
Georgia,1982,56510,1053689
Hawaii,1982,7077,162024
Idaho,1982,9790,202973
Illinois,1982,104619,1880289
Indiana,1982,50528,999542
Iowa,1982,32110,504983
Kansas,1982,26056,407074
Kentucky,1982,32237,651084
Louisiana,1982,42697,784027
Maine,1982,12910,211986
Maryland,1982,37760,699201
Massachusetts,1982,56498,908984
Michigan,1982,80364,1674697
Minnesota,1982,39775,715190
Mississippi,1982,25176,468294
Missouri,1982,46047,802535
Montana,1982,9517,152335
Nebraska,1982,17381,269009
Nevada,1982,7222,151104
New Hampshire,1982,9758,160197
New Jersey,1982,74303,1172520
New Mexico,1982,14323,268632
New York,1982,157250,2718678
North Carolina,1982,55261,1096815
North Dakota,1982,7071,117078
Ohio,1982,94126,1860245
Oklahoma,1982,34960,593825
Oregon,1982,24074,448184
Pennsylvania,1982,103855,1783969
Rhode Island,1982,8854,139959
South Carolina,1982,32244,608518
South Dakota,1982,7974,123897
Tennessee,1982,39660,828264
Texas,1982,167835,2985659
Utah,1982,14616,370183
Vermont,1982,6189,91454
Virginia,1982,56038,975727
Washington,1982,34056,739215
West Virginia,1982,22159,375115
Wisconsin,1982,45047,784830
Wyoming,1982,6759,101665
Alabama,1983,35875,721901
Alaska,1983,6259,98206
Arizona,1983,26268,506682
Arkansas,1983,23696,432120
California,1983,174290,4089017
Colorado,1983,28417,542196
Connecticut,1983,32317,477585
Delaware,1983,5429,91406
District of Columbia,1983,5569,88843
Florida,1983,85028,1495543
Georgia,1983,56555,1050859
Hawaii,1983,7007,162241
Idaho,1983,9847,206352
Illinois,1983,102130,1853316
Indiana,1983,50509,984384
Iowa,1983,31779,497287
Kansas,1983,26096,405222
Kentucky,1983,32458,647414
Louisiana,1983,42200,800193
Maine,1983,13492,209753
Maryland,1983,37275,683491
Massachusetts,1983,56873,878844
Michigan,1983,79982,1635963
Minnesota,1983,39392,705236
Mississippi,1983,24955,467744
Missouri,1983,46761,795453
Montana,1983,9479,153646
Nebraska,1983,17548,266998
Nevada,1983,7366,150442
New Hampshire,1983,9821,159030
New Jersey,1983,73593,1147841
New Mexico,1983,14532,269711
New York,1983,158440,2674818
North Carolina,1983,55126,1089606
North Dakota,1983,7067,117213
Ohio,1983,96927,1827300
Oklahoma,1983,34999,591389
Oregon,1983,24409,447109
Pennsylvania,1983,102207,1737952
Rhode Island,1983,8848,136412
South Carolina,1983,32323,604553
South Dakota,1983,8355,123060
Tennessee,1983,39409,822057
Texas,1983,170439,2989796
Utah,1983,15245,378208
Vermont,1983,6242,90416
Virginia,1983,56388,966110
Washington,1983,34757,736239
West Virginia,1983,22503,371251
Wisconsin,1983,45311,774646
Wyoming,1983,7028,99254
Alabama,1984,36647,712586
Alaska,1984,6127,104599
Arizona,1984,26900,530062
Arkansas,1984,23985,432668
California,1984,178310,4151110
Colorado,1984,28824,545427
Connecticut,1984,32618,468145
Delaware,1984,5577,91767
District of Columbia,1984,5889,87397
Florida,1984,86264,1524107
Georgia,1984,56294,1062315
Hawaii,1984,7078,163860
Idaho,1984,10147,208080
Illinois,1984,102013,1834355
Indiana,1984,51308,972659
Iowa,1984,31882,491011
Kansas,1984,26331,405347
Kentucky,1984,32850,644421
Louisiana,1984,42180,800941
Maine,1984,13261,207537
Maryland,1984,38030,673840
Massachusetts,1984,56504,859391
Michigan,1984,81185,1609448
Minnesota,1984,40108,701697
Mississippi,1984,25388,466058
Missouri,1984,47366,793793
Montana,1984,9597,154412
Nebraska,1984,17656,265599
